ID,RA,Dec,H2O_N,H2O_N_err_lower,H2O_N_err_upper,CO2_N,CO2_N_err_lower,CO2_N_err_upper,CO_N,CO_N_err_lower,CO_N_err_upper,H2_N,CO2/H2O,CO/H2O,CO2/CO
50,166.5210169,-77.39759656,4.04,0.15,0.427,0.636,0.0166,0.0499,1.23,0.328,1.02,1.3353197087999997,0.15742574257425743,0.30445544554455445,0.5170731707317073
59,166.526844,-77.39426043,5.77,0.214,0.609,0.661,0.0144,0.043,1.83,0.0502,0.144,1.681019127600002,0.11455805892547662,0.31715771230502604,0.36120218579234975
68,166.5369026,-77.39139082,4.87,0.253,0.835,0.974,0.00679,0.0202,2.16,0.0305,0.087,2.76222364044,0.19999999999999998,0.44353182751540043,0.4509259259259259
69,166.4755663,-77.3909131,0.898,0.169,0.534,0.126,0.00829,0.0248,0.26,0.273,0.842,0.2919240727800002,0.1403118040089087,0.289532293986637,0.4846153846153846
77,166.6057671,-77.38768496,7.78,0.223,0.733,1.37,0.00896,0.0269,2.76,0.015,0.0434,4.43427398628,0.17609254498714655,0.3547557840616966,0.496376811594203
85,166.5645836,-77.38523469,4.45,0.53,1.8,0.77,0.00514,0.0153,1.62,0.0656,0.193,2.2026003078000005,0.17303370786516853,0.36404494382022473,0.47530864197530864
89,166.5851936,-77.38427255,6.13,0.324,1.12,1.62,0.00906,0.027,2.8,0.084,0.247,2.718532773120001,0.2642740619902121,0.4567699836867863,0.5785714285714286
91,166.6086088,-77.38353602,7.97,0.279,0.909,1.36,0.0151,0.0455,3.21,0.0586,0.172,3.86140080684,0.17063989962358847,0.4027603513174404,0.42367601246105924
92,166.596289,-77.38352401,6.07,0.281,0.916,1.47,0.0115,0.0339,2.69,0.0916,0.268,3.1568086452600004,0.24217462932454695,0.443163097199341,0.5464684014869888
93,166.5518405,-77.38343187,2.6,0.189,0.61,0.544,0.0136,0.0407,0.809,0.051,0.149,0.9050016405000002,0.20923076923076925,0.31115384615384617,0.6724351050679852
94,166.5722552,-77.38346327,4.59,0.664,2.09,0.297,0.0227,0.0677,0.348,0.0573,0.165,2.518427842079999,0.06470588235294117,0.07581699346405228,0.853448275862069
95,166.530689,-77.38321296,3.19,0.118,0.337,0.264,0.0447,0.131,0.08,0.0747,0.215,0.8358367768799998,0.08275862068965517,0.025078369905956115,3.3000000000000003
97,166.5125697,-77.38306363,0.1,0.0,0.0,0.466,0.0195,0.0569,0.08,0.324,1.02,0.21154347246000052,4.66,0.7999999999999999,5.825
100,166.5969238,-77.38159873,5.26,0.255,0.842,0.59,0.0071,0.021,1.86,0.318,0.968,2.728915577280001,0.11216730038022814,0.35361216730038025,0.31720430107526876
101,166.5437809,-77.38158574,0.5,0.0,0.0,0.343,0.0374,0.111,0.08,0.81,3.14,1.4532156500399984,0.686,0.16,4.2875000000000005
103,166.5933651,-77.38107262,4.99,0.253,0.834,1.31,0.0236,0.0707,1.82,0.147,0.435,2.5765446837600003,0.2625250501002004,0.36472945891783565,0.7197802197802198
105,166.5339713,-77.38066158,4.58,0.114,0.357,0.368,0.0144,0.0434,1.47,0.123,0.357,0.7597119511200014,0.08034934497816594,0.3209606986899563,0.2503401360544218
107,166.6211093,-77.37818637,4.09,0.198,0.656,0.978,0.0143,0.0429,1.28,0.13,0.385,2.5983227529599993,0.239119804400978,0.31295843520782396,0.7640625
108,166.5447024,-77.37813152,0.1,0.0,0.0,0.634,0.0363,0.107,0.08,0.807,2.08,0.8163029672400013,6.34,0.7999999999999999,7.925
109,166.5337614,-77.37779856,1.71,0.0634,0.18,0.195,0.0119,0.0356,0.42,0.0207,0.0594,0.5059361826600007,0.11403508771929825,0.24561403508771928,0.4642857142857143
